,Ghia,,一重网格,,二重网格,,三重网格,,SPH
,,,,,,0.042456,0.609375,0.22357,0.77
,,,,,,0.04932,0.617188,0.23337,0.78
,,,,,,0.056241,0.625,0.24616,0.79
,,,,,,0.063226,0.632813,0.25881,0.8
,,,,,,0.070279,0.640625,0.27108,0.81
,,,,,,0.077406,0.648438,0.28192,0.82
,,,,,,0.084612,0.65625,0.29195,0.83
,,,,,,0.091902,0.664063,0.30149,0.84
,,,,,,0.099283,0.671875,0.31044,0.85
,,,,,,0.10676,0.679688,0.31734,0.86
,,,,,,0.114337,0.6875,0.32495,0.87
,,,,,,0.12202,0.695313,0.332,0.88
,,,,,,0.129813,0.703125,0.33997,0.89
,,,,,,0.137719,0.710938,0.34623,0.9
,,,,,,0.14574,0.71875,0.355,0.91
,,,,,,0.153878,0.726563,0.36211,0.92
,,,,,,0.162133,0.734375,0.37332,0.93
,,,,,,0.170501,0.742188,0.39833,0.94
,,,,,,0.178978,0.75,0.42291,0.95
,,,,,,0.187557,0.757813,0.48125,0.96
,,,,,,0.196228,0.765625,0.55451,0.97
,,,,,,0.204978,0.773438,0.65003,0.98
,,,,,,0.213788,0.78125,0.83136,0.99
,,,,,,0.22264,0.789063,1.0391,1
,,,,,,0.231506,0.796875,,
,,,,,,0.24036,0.804688,,
,,,,,,0.249166,0.8125,,
,,,,,,0.257888,0.820313,,
,,,,,,0.266483,0.828125,,
,,,,,,0.274905,0.835938,,
,,,,,,0.283105,0.84375,,
,,,,,,0.291032,0.851563,,
,,,,,,0.298631,0.859375,,
,,,,,,0.305853,0.867188,,
,,,,,,0.312657,0.875,,
,,,,,,0.319022,0.882813,,
,,,,,,0.324974,0.890625,,
,,,,,,0.330626,0.898438,,
,,,,,,0.336241,0.90625,,
,,,,,,0.342341,0.914063,,
,,,,,,0.349836,0.921875,,
,,,,,,0.360187,0.929688,,
,,,,,,0.375559,0.9375,,
,,,,,,0.398891,0.945313,,
,,,,,,0.433798,0.953125,,
,,,,,,0.484166,0.960938,,
,,,,,,0.553357,0.96875,,
,,,,,,0.643016,0.976563,,
,,,,,,0.75169,0.984375,,
,,,,,,0.873811,0.992188,,
